source_file,subject_id,study_id,session_id,voice,humanness_rating,word_1,word_2,word_3,word_4,word_5,cognitive_1,behavioral_1,affective_1,cognitive_2,affective_2,behavioral_2,understood,age,gender,ethnicity,language,education,enjoy,payment,comments
23k4sf5u9s.csv,69cd8fe60e58a51d157f9f9c,6a4006e2dbfd0dc33ffaa39b,6a42a4757deb2c3bcba6a715,xiaoxi,33,smart,clear,confident,informed,caring,1,1,1,1,1,1,TRUE,44.0,male,white,english,Graduated college,Average study,The payment was fair,thanks 
28xf2c61or.csv,6a26e5e7238d535c33b4828c,6a4006e2dbfd0dc33ffaa39b,6a42a2efc3e6cc8a3c85f8ed,vince_duglus,85,Loud,Projective,Clear,TV Voice,Morgan Freeman,3,3,2,2,3,3,TRUE,22.0,Male,White,English,Graduated high school,Better than average study,The payment was fair,
2js6ugajvz.csv,69dd9b7a2faa77cb7c1d472c,6a4006e2dbfd0dc33ffaa39b,6a42a6af21bae237d1ffcc8f,grampa_werthers,74,man,educator,storyteller,old,excited,2,1,1,1,1,1,TRUE,25.0,female,white,english,Graduated college,Average study,The payment was fair,none
2k4nm2109g.csv,6a04c01c963d770b4182218f,6a4006e2dbfd0dc33ffaa39b,6a42a2ec438cae9bddb3f558,xiaoxi,86,stoic,calm,professional,academic,confident,2,4,4,2,2,2,TRUE,26.0,Male,Asian,English,Graduated college,Average study,The payment was fair,
2okcrczyy2.csv,695fe74c64008cd1562be302,6a4006e2dbfd0dc33ffaa39b,6a42ab5e1e4b1bd44fc137d5,whytee,100,informative,beautiful,rainbow,scientific,important,3,2,3,3,1,1,TRUE,35.0,woman,white,English,Some college,Average study,The payment was fair,"Just want to say thank you for using Prolific, I hope you have a great day!"
2w8xskasku.csv,66abc79f0812c1f89a25adfb,6a4006e2dbfd0dc33ffaa39b,6a42a63528244ff1c788b5d8,riley,35,odd,raspy,nasally,masculine,young,3,3,2,4,4,3,TRUE,32.0,Woman,,English,Graduated high school,Average study,The payment was fair,
35ynngzlyq.csv,5c476621b521ee00019abf67,6a4006e2dbfd0dc33ffaa39b,6a42a3e27845a81b3de02949,xiaoxi,79,calm,intelligent,vision,educated,woman,2,3,2,3,2,2,TRUE,67.0,woman,euro,English,Hold a higher degree,Better than average study,The payment was fair,
3ckouc2q3u.csv,69e796db27e569e3968cdefb,6a4006e2dbfd0dc33ffaa39b,6a42a35f1b080f23589853a2,riley,65,invested,curious,passionate,enthusiastic ,male,2,1,2,2,2,1,TRUE,29.0,female,multiracial black and white,English,Some college,Better than average study,The payment was fair,no comments
3pctw0mdze.csv,6a1f3c30e2fe3e02c6c2f6e3,6a4006e2dbfd0dc33ffaa39b,6a42a2e5026bb201489eafc0,maria_moody,90,Elderly,Kind,Calm,Good,Woman,3,3,1,2,3,1,TRUE,16.0,Female,Black/African American,1 (English),Some college,Average study,The payment was fair,No. 
485zx6tzrj.csv,6a20f11a541c99ffb2efb105,6a4006e2dbfd0dc33ffaa39b,6a42a45f220c383efa84a73a,whytee,69,Rainbow,Colors,Horizon ,Rain,Sunlight,1,1,1,2,3,1,TRUE,18.0,Female,Black ,English ,Graduated high school,Average study,The payment was fair,No
49ghq100uk.csv,652be55d3d99a68b56fe7d56,6a4006e2dbfd0dc33ffaa39b,6a42a9b533f342546d33e3ee,john,48,enthused ,calming,vivid,natural,proper,3,3,4,4,3,3,TRUE,41.0,female,Black,English,Hold a higher degree,Average study,The payment was fair,N/A
4jw9sy5x96.csv,657f0f3e8efab1fba4ec5aac,6a4006e2dbfd0dc33ffaa39b,6a42a3d55265dead6957fc78,john,38,slow,annoying,impaired,confusing,nonchalant,2,2,3,3,3,2,TRUE,27.0,Male,Hispanic,English and Spanish,Some college,Better than average study,The payment was fair,No comment.
53133e9pq6.csv,5ff591cba89e1b000bfb9852,6a4006e2dbfd0dc33ffaa39b,6a42a45337d9a2b920512174,zuri,55,Monotone,Forgettable,Boring,Woman,Black,2,3,3,4,3,3,TRUE,40.0,Male,White,English,Some college,Average study,The payment was too low,None 
5nwg00ce2r.csv,6991fdcf7660e0dd682f22f4,6a4006e2dbfd0dc33ffaa39b,6a42a793a2dbc6fdff14b14a,john,82,Deep,Smart ,Thoughtful,Profound ,Pensive ,2,1,1,2,3,1,TRUE,32.0,Male,White,English,Graduated high school,Average study,The payment was fair,
5whrr2ck4t.csv,6a1874d2b6c7c957c0da8155,6a4006e2dbfd0dc33ffaa39b,6a42a36cebc61ed551752134,gracie_valley,58,sassy,New Yorker ,annoying,girl,emphasis,2,2,2,2,2,2,TRUE,25.0,male,white,English,Some college,Better than average study,The payment was fair,
6lev2rzu2z.csv,699ccc000fd3903ad3da0f99,6a4006e2dbfd0dc33ffaa39b,6a42a2fc2735ca3b2fa07304,riley,0,Artificial,Calm,Fake,Unrealistic,robotic,3,2,3,3,3,3,TRUE,18.0,Transgender,White,English,Graduated high school,Better than average study,The payment was fair,
6rnazuoehe.csv,6a05daa3f74d640af4ad328d,6a4006e2dbfd0dc33ffaa39b,6a42a375fd58b6ea41a0724c,xiaoxi,64,Horizon,Arch,When,The,sunlight,2,2,1,1,2,5,TRUE,39.0,Female,Hispanic,Spanish and English,Some college,Better than average study,The payment was fair,
6vbokgjabs.csv,69dff8d3a4c587d5f5278f52,6a4006e2dbfd0dc33ffaa39b,6a42a5535a4298850b64beaf,whytee,85,rainbaw,earth,rain,forms,arc,4,5,4,4,3,4,TRUE,22.0,male,American,english,Graduated college,Better than average study,The payment was fair,the study was clear overall
6wykl6shvz.csv,6547ae55eba4e6b1fffff79f,6a4006e2dbfd0dc33ffaa39b,6a42a4d28b72b27d75cfcaa8,zuri,81,Clear,Interesting,Female,Articulate,Informative,3,3,3,3,3,3,TRUE,43.0,Male,White,English,Graduated college,Average study,The payment was fair,
73wxdfcvh2.csv,6675c16ff0167744f9233116,6a4006e2dbfd0dc33ffaa39b,6a42a361fe4823ecd9df8b02,xiaoxi,61,Monotoned,Boring,Woman,Angry,Single,4,4,5,4,4,4,TRUE,57.0,Male,Caucasian,English,Some college,Better than average study,The payment was fair,
7r8r4d3grc.csv,66231fc6e1ecba676935943a,6a4006e2dbfd0dc33ffaa39b,6a42a36eacd5b052a54b1cad,maria_moody,82,older,lady,smart,patient,cautious,4,3,4,4,4,2,TRUE,39.0,Male,White,English,Graduated college,Average study,The payment was fair,
7zr0lz1fot.csv,69e63f97818b8afcdfe3324e,6a4006e2dbfd0dc33ffaa39b,6a42a2e45fb6fb9910d2ad0b,gracie_valley,17,fake,unprofessional,digital,friendly,valley girl,1,1,1,1,1,1,TRUE,37.0,female,white,English,Hold a higher degree,Average study,The payment was fair,
93w4qg3j4k.csv,6960379bf953218cc6ae38ae,6a4006e2dbfd0dc33ffaa39b,6a42a3e04d52ebb889a70fd0,riley,8,When,the,sunlight,hits,the,3,4,4,2,4,3,TRUE,52.0,Male,Foundational Black American,English,Graduated college,Average study,The payment was fair,N/A
9corqn475a.csv,67915007d6208ae2bf005724,6a4006e2dbfd0dc33ffaa39b,6a42a540cbc0ecca85babbae,gracie_valley,73,Preppy,Girly,Questioning,Annoying,Young,2,2,3,4,2,3,TRUE,26.0,Male,White,English,Graduated college,Average study,The payment was fair,
9s6a0tr2v6.csv,6777d289f3eaa43bfd9c878c,6a4006e2dbfd0dc33ffaa39b,6a42a58b700c44c9eaf04923,vince_duglus,83,Deep,Raspy,Professional,Dominant,Confident,3,2,2,2,2,3,TRUE,34.0,Male,White,English,Graduated high school,Better than average study,The payment was fair,Thanks for the opportunity
9vtxh6sppq.csv,69e713c58acc31a49c0445c4,6a4006e2dbfd0dc33ffaa39b,6a42a2ffaf8e8bac296b6dac,grampa_werthers,66,storylike,loud,older,descriptive,passionate,2,1,4,1,1,1,TRUE,19.0,Female,Asian American,English,Some college,Better than average study,The payment was fair,"This was a great concise study, thanks!"
b874xxpch8.csv,5fa45d41eb5d570b4841254d,6a4006e2dbfd0dc33ffaa39b,6a42a36523f302211ade0683,whytee,77,sun,rain,rainbow,prism,color,1,1,1,2,1,1,TRUE,55.0,female,white,english,Some college,Average study,The payment was fair,
co8ba1npb9.csv,5d11095c9286a8001a6bf0b4,6a4006e2dbfd0dc33ffaa39b,6a42a4d6a036269aa6ccd95b,vince_duglus,98,black,man,educated,teacher,male,1,5,3,5,2,4,TRUE,42.0,Male,Black,English,Graduated college,Better than average study,The payment was fair,
dlku307nrn.csv,60f4a96fa040aaa9bac2fb0b,6a4006e2dbfd0dc33ffaa39b,6a42a2fd363efeaa27e84bb9,john,100,dramatic,outgoing,corny,loud,californian,2,3,2,1,3,1,TRUE,39.0,female,white,english,Graduated college,Average study,The payment was fair,no
eheexof3gh.csv,69fe3a317a4b7470e3fc2daa,6a4006e2dbfd0dc33ffaa39b,6a42a4cb90dd80b7934b1b93,john,81,California,Surfer,Annoying,Tiring,Idiot,5,5,5,3,4,3,TRUE,43.0,Male,White,English,Graduated college,Average study,The payment was fair,
es54j5sxhb.csv,6a2225006d8be225bf266aa5,6a4006e2dbfd0dc33ffaa39b,6a42a9734aab347a8a39616c,xiaoxi,91,rainbow ,white ,light ,beautiful ,horizon,4,5,5,5,5,4,TRUE,33.0,female ,black ,English ,Hold a higher degree,Better than average study,The payment was fair,the study was great 
fhjkxa2uj0.csv,65e39084297ead448fe826b1,6a4006e2dbfd0dc33ffaa39b,6a42a4cf27539a4232ca3350,grampa_werthers,29,Prism,Horizon,Rainbow,Color,Light,2,2,3,2,2,2,TRUE,28.0,Man,White,English,Some college,Better than average study,The payment was fair,"None, thank you. "
fm72ku474e.csv,60477705b440ae26c4aaf5bb,6a4006e2dbfd0dc33ffaa39b,6a42a43adbf63296cf2534d3,maria_moody,100,elderly,flat,disinterested,clear,female,1,1,1,1,1,1,,46.0,male,middle eastern,"English, Hebrew",Hold a higher degree,Worse than average study,The payment was too low,
g1anukn3ud.csv,6a05158488ed50208bfbd045,6a4006e2dbfd0dc33ffaa39b,6a42a4a86d9895d772f0494e,maria_moody,94,assertive,grainy,deep,forceful,stern,4,4,4,4,3,4,TRUE,51.0,Male,black,english,Graduated college,Better than average study,The payment was too low,
gt9myoe0sa.csv,698bb323985528a2414bb5f2,6a4006e2dbfd0dc33ffaa39b,6a42a5584142d3fa1b66bc70,grampa_werthers,14,Old,Well Spoken ,Exaggerated ,Loud,Ai generated,3,2,3,3,3,3,TRUE,45.0,Female ,Black,English,Graduated high school,Average study,The payment was fair,None
gtkfvptm0w.csv,694192e0605a1dceb2f5c424,6a4006e2dbfd0dc33ffaa39b,6a42a327ad4d13d0bffa14fe,maria_moody,93,Woman,Older,Wise,Gentle,Grandma,3,3,3,3,3,3,TRUE,38.0,Female,White/Hispanic,English and Spanish,Graduated college,Better than average study,The payment was fair,
hh6zl8vdaf.csv,6a1628e7140a66991045f8e7,6a4006e2dbfd0dc33ffaa39b,6a42a6299b751f72bb2a0227,xiaoxi,91,Woman,Young,Scientific,Colorful,Rainbow,4,4,3,4,4,3,TRUE,58.0,Male,White/hispanic,English,Hold a higher degree,Better than average study,The payment was fair,"AI is still a tool, any change in the world will need to be directed by people."
hhhjq45u2l.csv,6a2610924819a2960cbf5a99,6a4006e2dbfd0dc33ffaa39b,6a42a97ff8bfbf5260348dcf,riley,19,Smart,Educated,Science,Interesting ,Cool ,2,2,3,1,1,1,TRUE,29.0,Male,White ,English ,Graduated high school,Average study,The payment was fair,
j0ma9425cz.csv,5c6c7ec01e50ec000147b635,6a4006e2dbfd0dc33ffaa39b,6a42a729988141703b4e10cd,vince_duglus,50,Deep,Calming,Clear,Storyteller,Relaxed,2,2,1,2,1,2,TRUE,29.0,Female,White,English,Graduated college,Average study,The payment was fair,
kl600kd9kq.csv,6a429e60953e792cf91b957d,6a4006e2dbfd0dc33ffaa39b,6a42a4d6eb532cf8faac72d1,whytee,76,rain,rainbows,colors,green,leprechaun,3,1,2,2,1,1,TRUE,38.0,Female,White,English,Graduated high school,Average study,The payment was too low,N/A
l1hkvh1r9n.csv,69608a9a607889a2e116c1dc,6a4006e2dbfd0dc33ffaa39b,6a42a8893580809ce6283a17,gracie_valley,35,annoying,stupid,grating,inauthentic,manufactured,3,4,2,3,2,2,TRUE,33.0,Female,White,English,Graduated college,Average study,The payment was fair,N/A
ljc8z9c3ex.csv,699dbc6761f510a4433e4636,6a4006e2dbfd0dc33ffaa39b,6a42a355f103220e18eca6b6,zuri,100,Happiness,Freedom,Peace,Full,Ending,5,4,5,5,5,5,TRUE,50.0,female,Mixed Race White and Black,English,Graduated college,Average study,The payment was fair,Nothing to add
n2wl3jp5ro.csv,69a0bfb1f868a0665d20408c,6a4006e2dbfd0dc33ffaa39b,6a42a89aa8e0be7c44f7db20,maria_moody,91,Interesting,Accurate,Beautiful,Promise,God,1,1,1,2,1,2,TRUE,33.0,Male,White,English,Graduated college,Average study,The payment was fair,
o21vbywnng.csv,6483f9ebf7986bdbdbc0598c,6a4006e2dbfd0dc33ffaa39b,6a42af5d66e06380e80be688,gracie_valley,85,emotive,whine,girl,young,creative,3,4,3,3,3,4,TRUE,61.0,female,white,English,Graduated college,Average study,The payment was fair,the study was clearly communicated
p13tvzsdbn.csv,6a0fc912bf37d14ef3a312b0,6a4006e2dbfd0dc33ffaa39b,6a42a4cdcfaa97b86c3c37f1,gracie_valley,57,Annoying,White,Woman,American,Nasal,4,4,4,5,3,3,TRUE,31.0,idk. heterosexual male,Hispanic,English/spanish,Some college,Average study,The payment was too low,Not really
p1mm1nkw7h.csv,69ba27d8069a7a4a2764ed9f,6a4006e2dbfd0dc33ffaa39b,6a42a9bb8ccf80471f31865b,gracie_valley,75,opinionated,wordy,confident,entitled,moody,5,5,5,4,5,4,TRUE,49.0,male,pac islander/asian,english,Hold a higher degree,Better than average study,The payment was too low,i would like to know if the voice was human or AI? 
p6ulao0qha.csv,6a19fd93f14f8fbc9989f5d6,6a4006e2dbfd0dc33ffaa39b,6a42a6da16dd5b69c7e694bf,zuri,65,feminine,monotonous,rich,quiet,even,2,1,1,1,1,1,TRUE,34.0,nonbinary,Black,English,Some college,Average study,The payment was fair,
q5sqqq0r54.csv,69fa44adbe586b4b429d3b45,6a4006e2dbfd0dc33ffaa39b,6a42a456bf6c6652a8437676,vince_duglus,59,calm,peaceful,rainbow,pleasant,informative,3,3,2,2,2,2,TRUE,44.0,female,Asian,English,,Better than average study,The payment was fair,
qa1fpv1xnx.csv,6a2215dadfbb4c09cb187d47,6a4006e2dbfd0dc33ffaa39b,6a42f0256e4ba13bd23fabcb,grampa_werthers,66,Old,Wizard,Powerful,loud,smoker,1,1,1,2,1,1,TRUE,23.0,female and non binary,white,English,Graduated college,Average study,The payment was too low,
qrrfceyb69.csv,694b928edc7747d82753b849,6a4006e2dbfd0dc33ffaa39b,6a42a9048e1295641d131303,vince_duglus,39,horizon,prism,rain,beyond,the,2,3,3,4,2,3,TRUE,29.0,male,white,english,Some college,Average study,The payment was fair,
rpazj0zkk8.csv,672d44a0368d7f70ae84fdbc,6a4006e2dbfd0dc33ffaa39b,6a42a2edb696b772bfde7411,whytee,63,student,softspoken,confident,male,gentle,4,5,5,4,4,4,TRUE,51.0,Male,White,English,Hold a higher degree,Better than average study,The payment was fair,N/A
s3nzt32rwy.csv,6a0e01ca042c9f7da7106c7b,6a4006e2dbfd0dc33ffaa39b,6a42a9074d00343cccf2d803,whytee,65,colours,shape,horizon,rainbow,sunlight,4,4,4,4,4,4,TRUE,40.0,Female,Black American,English,Hold a higher degree,Better than average study,The payment was fair,good study
swb3c9f3uu.csv,69cff429bb84c7afcf70990d,6a4006e2dbfd0dc33ffaa39b,6a42a3dce7f1c122f1158663,vince_duglus,0,Rainbow,Water,Light,Prism,Color,2,4,3,3,3,3,,,Male,White,English,Graduated college,Better than average study,The payment was fair,
tanzy5bcey.csv,66ebb15a94fdc9a7583e78a5,6a4006e2dbfd0dc33ffaa39b,6a42a49a6d9895d772f0494c,riley,0,Artificial,spectrum,fake,colors,red,4,5,5,4,4,4,TRUE,75.0,female,white,english,Some college,Average study,The payment was fair,
thk7y83c5v.csv,69f890892bf2b3103da5f02d,6a4006e2dbfd0dc33ffaa39b,6a42a3906d8fe0a5ae6ea606,grampa_werthers,97,Sunlight,Rainbow,Rain,Sky,Sun,4,5,5,4,5,5,TRUE,28.0,Male,Black,English,Graduated college,Better than average study,The payment was fair,
tzdqa8acol.csv,69dc36008c70f0cb522934dc,6a4006e2dbfd0dc33ffaa39b,6a42a30b56f0b0033219110b,gracie_valley,69,Happy,Fun,Joyful,Energetic,Enthusiastic,4,4,4,5,4,4,TRUE,38.0,Male,White,English,Graduated college,Better than average study,The payment was fair,Thank you!
uuwo3a9rhh.csv,5e4f1b00508a16000b0978ff,6a4006e2dbfd0dc33ffaa39b,6a42a37626d98cd675faa5e2,zuri,100,woman,city,urban,smooth,sweet,4,5,5,5,4,5,TRUE,35.0,female/woman,white,english,Graduated college,Better than average study,The payment was fair,
uxf52j0p59.csv,6705bf2688ed88bcafd57446,6a4006e2dbfd0dc33ffaa39b,6a42aadbbce3964f1c4314b9,xiaoxi,100,teacher,instructor ,Story Teller,Explainer ,Guider ,5,5,5,5,5,5,TRUE,34.0,Male,White & Native American,English,Graduated college,Average study,The payment was fair,None!
v41qdv6l6c.csv,698131d58ccd103588cb5ca6,6a4006e2dbfd0dc33ffaa39b,6a42a9049fc15ea042d9d0a4,zuri,84,educated,smart,culture,female,curious,3,4,4,3,3,4,TRUE,29.0,female,white,English,Graduated college,Average study,The payment was fair,
vb2n69anje.csv,676f9074e64ab87848a30331,6a4006e2dbfd0dc33ffaa39b,6a42a3db4812928544823155,whytee,63,rainbow,explanation,science,thorough,credible,4,4,4,4,4,4,TRUE,53.0,male,asian,english,Hold a higher degree,Average study,The payment was fair,
vuz55q9nyo.csv,6a1c990b43838fd3a302fedf,6a4006e2dbfd0dc33ffaa39b,6a42a569551efc3a782aaab9,maria_moody,85,Woman,Wise,Older,Scripted,Clear,2,2,1,1,1,1,TRUE,27.0,Woman,White,English,Hold a higher degree,Average study,The payment was fair,
w77x00br5w.csv,62b0b6c050a175081568bf35,6a4006e2dbfd0dc33ffaa39b,6a42a3f2951ae0a9a9aa1ed0,grampa_werthers,99,Science,Documentary,School,Cartoon ,Rainbow ,4,5,5,4,4,3,TRUE,48.0,Male,White - Caucasian ,English ,Graduated college,Better than average study,The payment was fair,None
w9yomy4y0j.csv,5f194a197aab0b1bba4a7636,6a4006e2dbfd0dc33ffaa39b,6a42a742addff7d871fdd33f,xiaoxi,83,Clear ,Smart ,Attentive ,Descriptive ,Confident ,2,1,1,2,1,2,TRUE,28.0,Female ,"White, Hispanic","English, Spanish ",Some college,Average study,The payment was fair,
wv44fz7tkc.csv,694587bf33d102941b804de3,6a4006e2dbfd0dc33ffaa39b,6a42a3ed9e8ebf7ebcc9031f,john,77,raspy,dude,surfer,stoked,weed,2,2,1,2,2,1,TRUE,62.0,Woman,White,English ,Some college,Better than average study,The payment was fair,None
xqpx332f2r.csv,663a5c96bf6c0f72730b22d5,6a4006e2dbfd0dc33ffaa39b,6a42a35a6b731727428d0bf1,vince_duglus,100,calm,percise,dreamy,cadence,quality,2,1,3,2,2,1,TRUE,30.0,Female,white,English,Graduated college,Average study,The payment was fair,
y7upskt20k.csv,6629e9bbe0147a7cf2f25f33,6a4006e2dbfd0dc33ffaa39b,6a42a3649b9e742b3b158660,riley,67,knowledgeable,scientist,kind,detailed,confident,2,1,2,1,2,1,TRUE,32.0,woman,white & middle eastern,russian and english,Some college,Average study,The payment was fair,
y8fd1qofl4.csv,6a01df41373893c58f2011b5,6a4006e2dbfd0dc33ffaa39b,6a42a3dc7582f078df68c252,gracie_valley,66,Snooty,Annoying,Fake,Blonde,Unintelligent,3,2,3,4,3,2,TRUE,29.0,Female,African American,English,Hold a higher degree,Average study,The payment was fair,
ynnu2zr132.csv,6a0e4042a44c36bffb75affb,6a4006e2dbfd0dc33ffaa39b,6a42a4ce2f347686ede175f9,xiaoxi,20,Rainbow ,Two ends ,Light,Colors,Reflecting ,4,3,4,4,3,3,TRUE,31.0,Female,White,English ,Graduated high school,Average study,The payment was fair,
yz2h4ws97v.csv,6995128bd75ec09b6e8b6973,6a4006e2dbfd0dc33ffaa39b,6a42a36cbeaa52849d6b6db2,whytee,66,Rainbow,Clouds,Sunshine,Rain,Weather,3,3,3,3,4,3,,,,White,English,Graduated high school,Better than average study,The payment was too low,
z1dzrygjwu.csv,5ced8f96a726ed0015d31452,6a4006e2dbfd0dc33ffaa39b,6a42a35d2f347686ede175ea,zuri,82,rainbow,horizon,beautiful,light,woman,2,2,2,2,2,1,TRUE,39.0,male,caucasian,English,Hold a higher degree,Average study,The payment was fair,No
zkqukg3gqk.csv,6a020d19e0ee5c35da7d3566,6a4006e2dbfd0dc33ffaa39b,6a42a6b7fa3fad0d591a380c,maria_moody,86,Elderly,Feminine,Raspy,Smart,Interesting,3,3,3,3,3,3,TRUE,41.0,Female,Latino,"English, spanish",Graduated college,Better than average study,The payment was fair,
zx6y06ojcv.csv,6a1383e0b9af5351bedb6a01,6a4006e2dbfd0dc33ffaa39b,6a42a2e034e3c88978667298,john,21,Vivid,Dramatic,Euphoric,Soft-spoken,Enthusiastic,2,4,4,2,2,3,TRUE,22.0,Male,Middle Eastern,"English, Persian",Graduated college,Average study,The payment was fair,No further comments.